city,lat,lng
Bangkok,13.75,100.5167
Nonthaburi,13.8667,100.5167
Pak Kret,13.9125,100.4978
Hat Yai,7.0167,100.4667
Nakhon Ratchasima,14.9736,102.0831
Chiang Mai,18.7889,98.9833
Surat Thani,9.1397,99.3306
Udon Thani,17.4253,102.7902
Ban Bang Pu Mai,13.5441,100.6175
Khon Kaen,16.4297,102.8297
Phatthaya,12.9496,100.893
Nakhon Si Thammarat,8.4363,99.963
Ban Mangkon,13.6138,100.6104
Nakhon Sawan,15.7133,100.1353
Ban Talat Rangsit,13.987,100.6095
Ubon Ratchathani,15.2281,104.8594
Nakhon Pathom,13.8194,100.0581
Phuket,7.8881,98.3975
Phitsanulok,16.8158,100.2636
Chiang Rai,19.9094,99.8275
Ko Samui,9.5157,99.9436
Ban Suan,13.3616,100.9795
Songkhla,7.2061,100.5967
Rayong,12.6742,101.2789
Saraburi,14.5286,100.9114
Yala,6.5397,101.2811
Trang,7.5561,99.6114
Samut Sakhon,13.5486,100.2775
Ban Bang Kaeo,13.6371,100.6636
Hua Hin,12.5686,99.9578
Ban Rangsit,14.0167,100.75
Khlong Luang,14.0649,100.6447
Lampang,18.3,99.5
Prachuap Khiri Khan,11.8067,99.7956
Sakon Nakhon,17.1564,104.1456
Phra Nakhon Si Ayutthaya,14.3594,100.5761
Maha Sarakham,16.1772,103.3008
Muban Saeng Bua Thong,13.9424,100.3913
Samut Prakan,13.6004,100.5964
Bang Bua Thong,13.9099,100.4263
Nong Khai,17.8842,102.7467
Ban Plai Bua Phatthana,13.9032,100.3989
Ban Bang Mae Nang,13.8815,100.3759
Ban Pet,16.4379,102.7645
Pattani,6.8664,101.2508
Singhanakhon,7.2389,100.5506
Si Sa Ket,15.1072,104.3291
Bang Kruai,13.8042,100.4755
Su-ngai Kolok,6.0297,101.9668
Narathiwat,6.4264,101.8231
Ban Na Pa,13.3956,101.0232
Surin,14.8864,103.4932
Chachoengsao,13.6903,101.0703
Ban Bang Khu Lat,13.9134,100.369
Chaiyaphum,15.8056,102.0311
